author,total_posts,author_total_score,author_avg_score,best_story_title,best_story_score
dendark,1,19,19.0,Almost half of ICANN-accredited registrars under the control of a single busines,19
wibbily,1,14,14.0,Can guitar frets perform multiplication?,14
exploraz,1,13,13.0,This Month in Ladybird – August 2026,13
josephcsible,1,9,9.0,Christmas Village shoppers no longer will be allowed to enter booths,9
OxO4,1,5,5.0,The White House is making arcade games racist,5
bigcat12345678,1,5,5.0,Gimlet's Series B,5
BiraIgnacio,1,4,4.0,Why wait? Business grads buying firms to install themselves as CEO,4
Chidiebere229,1,4,4.0,Connecting every app to every other app,4
Cider9986,2,4,2.0,Apple's iPhone Event Early [video],2
barry-cotter,1,4,4.0,The Decade of Decline in Seattle Public Schools,4
cebert,1,4,4.0,Portal by Spotify cut my Claude Code token usage by 90%,4
cisc,1,4,4.0,What Tech Titans Don't Understand About Sci-Fi,4
fcesco,1,4,4.0,GPT-6 Astra proves Berge Fulkerson for C(20) graphs,4
littlexsparkee,1,4,4.0,Are Fewer Children the Future?,4
s-xyz,1,4,4.0,Show HN: Personal Context MCP,4
sbulaev,1,4,4.0,Oracle Health Execs Subpoenaed After VA Contract Costs Nearly Triple,4
bookofjoe,1,3,3.0,Los Angeles District Bans Most A.I. For Students,3
brbcoding,1,3,3.0,GPT-6 Astra on Vercel AI Gateway,3
firatcan,1,3,3.0,Show HN: Agent-to-agent payment. Your agents can pay each other,3
frizlab,1,3,3.0,SwiftTUI,3
megacorp,1,3,3.0,The 33-Year-Old AI Hotshot Taking Silicon Valley Swagger Back to Beijing,3
ndesaulniers,1,3,3.0,Abliteration.ai is making a business out of removing AI guardrails,3
orange999,1,3,3.0,Thoughts on Twitterviewer.net?,3
pykello,1,3,3.0,Rust's Type Checker Implementation Is Unsound: An Empirical Study,3
smithmayowa,1,3,3.0,Ask HN: Wolfram Cloud Is Out,3
zahrevsky,1,3,3.0,Fontra – The browser-based Font Editor,3
1vuio0pswjnm7,1,2,2.0,Ask HN: What's Going on with Web.archive.org,2
E-Reverance,1,2,2.0,Diffusion as a Training Curriculum for Timestep-Free Iterative Reasoning,2
HR01,1,2,2.0,Columbo should model CoT reasoning,2
granto,1,2,2.0,Show HN: TimerVana a Local-first scheduler for real world routines,2
jadidbourbaki,1,2,2.0,Show HN: Time Wizard,2
leovs09,1,2,2.0,Claude Code skills for advanced context engineering techniques and patterns,2
nojs,1,2,2.0,Artificial Analysis Intelligence Index v4.2,2
rvialep,1,2,2.0,Build your own benchmark masterclass,2
splxai,1,2,2.0,The Search Evaluation Ladder,2
tedsanders,1,2,2.0,"GPT-6 Astra is now out to all Plus, Business, Pro, and Enterprise users",2
thomiasj,1,2,2.0,Uia-reader – read Windows UI content instead of screenshotting it,2
tupe12334,1,2,2.0,Moadim.io a Scheduler for Agents,2
ytch,1,2,2.0,Reversing MikroTik's Silent Patch: The RouterOS 7.23.4 Fix They Wouldn't Explain,2
zof3,1,2,2.0,Ask HN: Initial Thoughts on GPT-6 Astra?,2
Arubis,1,1,1.0,"NextDNS: fully configurable DNS, accepts money from customers as business model",1
JimsonYang,1,1,1.0,Ask HN: Why isn't there a cursor for video games development,1
endowed7,1,1,1.0,Cloud Engineer,1
hsellentin,1,1,1.0,Exhibit of 2026 AI Agents,1
httbs,1,1,1.0,"Show HN: Mongotar – Files to Prompt, and Back",1
nulvec,1,1,1.0,What runs when you open a repository,1
pkuhar,1,1,1.0,Agent status in the SD Card slot,1
s14jsmith,1,1,1.0,A pre-registered test: can a business's rules be recovered from its data?,1
xenohunter,1,1,1.0,Basic News – a Telegram bot with customizable news digests,1
