domain,total_articles,total_score,avg_score_per_article,avg_comments_per_article,engagement_index
domainincite.com,1,19,19.0,0.0,19.0
phillyvoice.com,1,9,9.0,6.0,15.0
charlespetzold.com,1,14,14.0,1.0,15.0
ladybird.org,1,13,13.0,0.0,13.0
nytimes.com,1,3,3.0,4.0,7.0
newrepublic.com,1,4,4.0,3.0,7.0
gimletlabs.ai,1,5,5.0,1.0,6.0
theverge.com,1,5,5.0,0.0,5.0
medcitynews.com,1,4,4.0,1.0,5.0
educationprogress.org,1,4,4.0,1.0,5.0
theatlantic.com,1,4,4.0,0.0,4.0
wsj.com,1,3,3.0,1.0,4.0
engineering.atspotify.com,1,4,4.0,0.0,4.0
bbc.com,1,4,4.0,0.0,4.0
blog.val.town,1,4,4.0,0.0,4.0
lanes.sh,1,4,4.0,0.0,4.0
openspender.com,1,3,3.0,1.0,4.0
fontra.xyz,1,3,3.0,1.0,4.0
moadim.io,1,2,2.0,1.0,3.0
twitter.com,2,6,3.0,0.0,3.0
swifttui.sh,1,3,3.0,0.0,3.0
techcrunch.com,1,3,3.0,0.0,3.0
vercel.com,1,3,3.0,0.0,3.0
arxiv.org,2,5,2.5,0.0,2.5
hollisrobbinsanecdotal.substack.com,1,2,2.0,0.0,2.0
codeberg.org,1,2,2.0,0.0,2.0
youtube.com,2,4,2.0,0.0,2.0
artificialanalysis.ai,1,2,2.0,0.0,2.0
searchplex.net,1,2,2.0,0.0,2.0
nextdns.io,1,1,1.0,1.0,2.0
npratley.net,1,2,2.0,0.0,2.0
huggingface.co,1,2,2.0,0.0,2.0
sidepulse.io,1,1,1.0,1.0,2.0
timervana.net,1,2,2.0,0.0,2.0
github.com,3,5,1.67,0.0,1.67
agent-museum-2026.halstonsellentin.chatgpt.site,1,1,1.0,0.0,1.0
basicnews.world,1,1,1.0,0.0,1.0
veltron.cc,1,1,1.0,0.0,1.0
justinsmith.build,1,1,1.0,0.0,1.0
