story_id,author,title,score,comments_count
49570802,dendark,Almost half of ICANN-accredited registrars under the control of a single busines,19,0
49571047,wibbily,Can guitar frets perform multiplication?,14,1
49571096,exploraz,This Month in Ladybird – August 2026,13,0
49571038,josephcsible,Christmas Village shoppers no longer will be allowed to enter booths,9,6
49571255,bigcat12345678,Gimlet's Series B,5,1
49571569,OxO4,The White House is making arcade games racist,5,0
49571015,cisc,What Tech Titans Don't Understand About Sci-Fi,4,0
49571152,fcesco,GPT-6 Astra proves Berge Fulkerson for C(20) graphs,4,0
49571162,littlexsparkee,Are Fewer Children the Future?,4,3
49571243,sbulaev,Oracle Health Execs Subpoenaed After VA Contract Costs Nearly Triple,4,1
49571263,Chidiebere229,Connecting every app to every other app,4,0
49571368,barry-cotter,The Decade of Decline in Seattle Public Schools,4,1
49571465,cebert,Portal by Spotify cut my Claude Code token usage by 90%,4,0
49571491,BiraIgnacio,Why wait? Business grads buying firms to install themselves as CEO,4,0
49571566,s-xyz,Show HN: Personal Context MCP,4,0
49570792,frizlab,SwiftTUI,3,0
49570804,smithmayowa,Ask HN: Wolfram Cloud Is Out,3,1
49570875,bookofjoe,Los Angeles District Bans Most A.I. For Students,3,4
49571001,ndesaulniers,Abliteration.ai is making a business out of removing AI guardrails,3,0
49571006,pykello,Rust's Type Checker Implementation Is Unsound: An Empirical Study,3,0
49571138,orange999,Thoughts on Twitterviewer.net?,3,3
49571306,megacorp,The 33-Year-Old AI Hotshot Taking Silicon Valley Swagger Back to Beijing,3,1
49571360,zahrevsky,Fontra – The browser-based Font Editor,3,1
49571548,brbcoding,GPT-6 Astra on Vercel AI Gateway,3,0
49571563,firatcan,Show HN: Agent-to-agent payment. Your agents can pay each other,3,1
49570829,jadidbourbaki,Show HN: Time Wizard,2,0
49570987,splxai,The Search Evaluation Ladder,2,0
49571102,granto,Show HN: TimerVana a Local-first scheduler for real world routines,2,0
49571131,leovs09,Claude Code skills for advanced context engineering techniques and patterns,2,0
49571234,E-Reverance,Diffusion as a Training Curriculum for Timestep-Free Iterative Reasoning,2,0
49571246,HR01,Columbo should model CoT reasoning,2,0
49571386,rvialep,Build your own benchmark masterclass,2,0
49571395,Cider9986,Apple's iPhone Event Early [video],2,0
49571448,1vuio0pswjnm7,Ask HN: What's Going on with Web.archive.org,2,0
49571537,tupe12334,Moadim.io a Scheduler for Agents,2,1
49571582,tedsanders,"GPT-6 Astra is now out to all Plus, Business, Pro, and Enterprise users",2,0
49571621,zof3,Ask HN: Initial Thoughts on GPT-6 Astra?,2,0
49571627,ytch,Reversing MikroTik's Silent Patch: The RouterOS 7.23.4 Fix They Wouldn't Explain,2,0
49571632,nojs,Artificial Analysis Intelligence Index v4.2,2,0
49571634,Cider9986,Nitter has more working instances than before the takedowns,2,0
49571640,thomiasj,Uia-reader – read Windows UI content instead of screenshotting it,2,0
49570787,hsellentin,Exhibit of 2026 AI Agents,1,0
49570789,endowed7,Cloud Engineer,1,0
49570825,httbs,"Show HN: Mongotar – Files to Prompt, and Back",1,0
49570831,nulvec,What runs when you open a repository,1,0
49570832,s14jsmith,A pre-registered test: can a business's rules be recovered from its data?,1,0
49570867,xenohunter,Basic News – a Telegram bot with customizable news digests,1,0
49571061,Arubis,"NextDNS: fully configurable DNS, accepts money from customers as business model",1,1
49571091,JimsonYang,Ask HN: Why isn't there a cursor for video games development,1,1
49571650,pkuhar,Agent status in the SD Card slot,1,1
