author,total_posts,author_total_score,author_avg_score,best_story_title,best_story_score
theanonymousone,2,9,4.5,Using Blender with coding agents on macOS,8
Alien1Being,2,8,4.0,Greenland forces Trump's US oil firm to delay drilling,7
chris_overseas,1,7,7.0,Clean up your Android TV,7
aghuang,3,6,2.0,A Figma clone built by GPT-6 Astra,3
joebig,1,6,6.0,A volunteer stopped a backdoor from exposing Linux systems worldwide (2024),6
tosh,1,6,6.0,Joy and Curiosity #98,6
TheWiggles,1,5,5.0,Hwaro – A Lightweight and Fast Static Site Generator Written in Crystal,5
saineshnakra,1,5,5.0,Ada: An open-source data analyst that tells you when its own forecast is useless,5
edent,1,4,4.0,Site Is Closed on Sundays,4
luu,1,4,4.0,Decapitating a MacBook,4
mimorigasaka,1,4,4.0,Fiber-immersion microfabrication with sub-10µm resolution for under $300 [video],4
usernametaken29,1,4,4.0,Ask HN: Would you read a statistics textbook?,4
Aadi_Ajmire,1,3,3.0,Revise is the Figma of machine learning,3
Eridanus2,1,3,3.0,"After 30 Years of Silence, the Original NSA Whistleblower Looks Back",3
Teever,1,3,3.0,Europe would not be able to sustain war of attrition with Russia,3
fourfire,1,3,3.0,WeatherNext 3: Hourly global weather forecasts using live satellite data,3
granda,1,3,3.0,I Run Grok Bot with BotOps,3
haswell,1,3,3.0,"Any Nix package, live in your browser",3
klaustro,1,3,3.0,"Consciousness, creativity andunderstanding not obstacles to machine intelligence",3
num42,2,3,1.5,TR-106,2
qainsights,1,3,3.0,Thank you for being part of the GitHub Classroom journey,3
redbluething,1,3,3.0,A very old Blog?,3
rramadass,1,3,3.0,The Structured Vacuum: Thinking about Nothing [pdf],3
ashishmallur,1,2,2.0,RecallDock,2
daretograsp,1,2,2.0,An advanced attacker is targeting Salesforce and ServiceNow instances worldwide,2
euanming,1,2,2.0,Robot writes in languages it has never seen before,2
narenst,1,2,2.0,LA District Bans Most A.I. For Students,2
throwaway81523,1,2,2.0,Care for a Little More AI?,2
v-yanakiev,1,2,2.0,Show HN: Rust and Box2D browser physics game – build destructive machines,2
xbmcuser,1,2,2.0,"What \"Decolonizing\" Israel Looks Like. | Professor Noura Erakat - Full Interview",2
MrBuddyCasino,1,1,1.0,The biggest problem in buying AI compute is credit,1
OmarAfnan,1,1,1.0,I built an interactive networking lab for learning network engineering,1
abhishekucs,1,1,1.0,Show HN: Assist (Voice Screenshot),1
dennysora-main,1,1,1.0,Ask HN: Do you route only certain websites through a VPN?,1
diazc,1,1,1.0,'Huge Breakthrough' in the Math of Imbalance,1
gherkinnn,1,1,1.0,Reimagining projections for the interactive maps era (2021),1
guscatalano,1,1,1.0,A Wiki for AIs,1
jonahss,1,1,1.0,Show HN: Public message board for limited systems,1
pakupaku,1,1,1.0,interpretation to AI agents,1
pan69,1,1,1.0,"MyNoise – Custom Soundscapes for Focus, Relaxation and Sleep",1
rdmuser,1,1,1.0,Extract and Review Web Page Links Using a Bookmarklet,1
rvz,1,1,1.0,An Empirical Study on Soundness Bugs in the Rust Compiler,1
snihalani,1,1,1.0,Find fastest DoH provider for you,1
vhayda,1,1,1.0,Show HN: Move Claude Code sessions between accounts in Claude Desktop,1
xiaoyu2006,1,1,1.0,LMMS 1.3.0-alpha.2 Release (after 5 yrs of last release),1
