domain,total_articles,total_score,avg_score_per_article,avg_comments_per_article,engagement_index
til.simonwillison.net,1,8,8.0,0.0,8.0
tv.cobanov.dev,1,7,7.0,0.0,7.0
theverge.com,1,6,6.0,0.0,6.0
wieslawsoltes.github.io,1,3,3.0,3.0,6.0
theguardian.com,2,10,5.0,0.0,5.0
v7.robweychert.com,1,4,4.0,0.0,4.0
mm-dev.rocks,1,4,4.0,0.0,4.0
youtube.com,2,6,3.0,0.5,3.5
twitter.com,2,7,3.5,0.0,3.5
github.com,5,15,3.0,0.2,3.2
nytimes.com,1,2,2.0,1.0,3.0
cannonade.net,1,3,3.0,0.0,3.0
rafelski.com,1,3,3.0,0.0,3.0
granda.org,1,3,3.0,0.0,3.0
therealnews.com,1,3,3.0,0.0,3.0
link.springer.com,1,3,3.0,0.0,3.0
fzakaria.com,1,3,3.0,0.0,3.0
blog.google,1,3,3.0,0.0,3.0
revise.live,1,3,3.0,0.0,3.0
proofsandprompts.com,1,2,2.0,0.0,2.0
wired.com,1,2,2.0,0.0,2.0
mapbox.com,1,1,1.0,1.0,2.0
reco.ai,1,2,2.0,0.0,2.0
assistapp.dev,1,1,1.0,1.0,2.0
v-yanakiev.itch.io,1,2,2.0,0.0,2.0
cnbc.com,1,2,2.0,0.0,2.0
en.wikipedia.org,2,3,1.5,0.0,1.5
net-forge-kappa.vercel.app,1,1,1.0,0.0,1.0
bloomberg.com,1,1,1.0,0.0,1.0
adamsdesk.com,1,1,1.0,0.0,1.0
prospex.ch,1,1,1.0,0.0,1.0
synthetic.wiki,1,1,1.0,0.0,1.0
ag3497120.github.io,1,1,1.0,0.0,1.0
mynoise.net,1,1,1.0,0.0,1.0
dnsspeedtest.online,1,1,1.0,0.0,1.0
anystation.net,1,1,1.0,0.0,1.0
arxiv.org,1,1,1.0,0.0,1.0
quantamagazine.org,1,1,1.0,0.0,1.0
aclanthology.org,1,1,1.0,0.0,1.0
