story_id,author,title,score,comments_count
49583457,theanonymousone,Using Blender with coding agents on macOS,8,0
49583387,chris_overseas,Clean up your Android TV,7,0
49583630,Alien1Being,Greenland forces Trump's US oil firm to delay drilling,7,0
49583521,joebig,A volunteer stopped a backdoor from exposing Linux systems worldwide (2024),6,0
49583568,tosh,Joy and Curiosity #98,6,0
49583488,TheWiggles,Hwaro – A Lightweight and Fast Static Site Generator Written in Crystal,5,0
49583563,saineshnakra,Ada: An open-source data analyst that tells you when its own forecast is useless,5,0
49583381,luu,Decapitating a MacBook,4,0
49583440,usernametaken29,Ask HN: Would you read a statistics textbook?,4,3
49583490,mimorigasaka,Fiber-immersion microfabrication with sub-10µm resolution for under $300 [video],4,1
49583842,edent,Site Is Closed on Sundays,4,0
49583345,qainsights,Thank you for being part of the GitHub Classroom journey,3,1
49583356,fourfire,WeatherNext 3: Hourly global weather forecasts using live satellite data,3,0
49583476,haswell,"Any Nix package, live in your browser",3,0
49583492,redbluething,A very old Blog?,3,0
49583507,Teever,Europe would not be able to sustain war of attrition with Russia,3,0
49583533,Aadi_Ajmire,Revise is the Figma of machine learning,3,0
49583570,granda,I Run Grok Bot with BotOps,3,0
49583600,Eridanus2,"After 30 Years of Silence, the Original NSA Whistleblower Looks Back",3,0
49583626,klaustro,"Consciousness, creativity andunderstanding not obstacles to machine intelligence",3,0
49583723,rramadass,The Structured Vacuum: Thinking about Nothing [pdf],3,0
49583764,aghuang,A Figma clone built by GPT-6 Astra,3,3
49583374,throwaway81523,Care for a Little More AI?,2,0
49583510,ashishmallur,RecallDock,2,0
49583537,xbmcuser,"What \"Decolonizing\" Israel Looks Like. | Professor Noura Erakat - Full Interview",2,0
49583646,narenst,LA District Bans Most A.I. For Students,2,1
49583650,num42,TR-106,2,0
49583675,aghuang,Anthropic IPO launch shifts toward mid-October,2,0
49583684,euanming,Robot writes in languages it has never seen before,2,0
49583706,v-yanakiev,Show HN: Rust and Box2D browser physics game – build destructive machines,2,0
49583823,daretograsp,An advanced attacker is targeting Salesforce and ServiceNow instances worldwide,2,0
49583396,num42,Lists of Problems,1,0
49583423,vhayda,Show HN: Move Claude Code sessions between accounts in Claude Desktop,1,0
49583478,guscatalano,A Wiki for AIs,1,0
49583547,rdmuser,Extract and Review Web Page Links Using a Bookmarklet,1,0
49583549,rvz,An Empirical Study on Soundness Bugs in the Rust Compiler,1,0
49583578,xiaoyu2006,LMMS 1.3.0-alpha.2 Release (after 5 yrs of last release),1,0
49583612,Alien1Being,Why Laser Beams Are the Hottest New Tech in Defense,1,0
49583613,snihalani,Find fastest DoH provider for you,1,0
49583618,diazc,'Huge Breakthrough' in the Math of Imbalance,1,0
49583652,abhishekucs,Show HN: Assist (Voice Screenshot),1,1
49583682,MrBuddyCasino,The biggest problem in buying AI compute is credit,1,0
49583685,pakupaku,interpretation to AI agents,1,0
49583688,pan69,"MyNoise – Custom Soundscapes for Focus, Relaxation and Sleep",1,0
49583720,aghuang,Revealing a Hidden Class of Task-in-Prompt Adversarial Attacks on LLMs,1,0
49583757,dennysora-main,Ask HN: Do you route only certain websites through a VPN?,1,0
49583779,theanonymousone,Switzerland's invisible skyline: why Zug towers over the rest,1,0
49583809,jonahss,Show HN: Public message board for limited systems,1,0
49583835,OmarAfnan,I built an interactive networking lab for learning network engineering,1,0
49583854,gherkinnn,Reimagining projections for the interactive maps era (2021),1,1
