author,total_posts,author_total_score,author_avg_score,best_story_title,best_story_score
jllyhill,1,58,58.0,I Changed My License,58
pigeonlabshq,1,7,7.0,"Pigeon, a signed Pass for what a sub-agent may do",7
gdss,1,4,4.0,How to Prepare for AGI,4
jruohonen,2,4,2.0,The Slopconomy and Its Alternatives,3
bookofjoe,1,3,3.0,'Old Person Smell',3
routeroff,1,3,3.0,Runtipi: Homeserver Management Made Easy,3
sbulaev,1,3,3.0,A Blacklisted Chinese Tech Giant Kept Buying Nvidia's Best A.I. Chips,3
Bahaa_BLINK,1,2,2.0,Blink – E-commerce platform where you shop through video reels,2
JumpCrisscross,1,2,2.0,Musk's Inner Circle Is Pouring Cash into Making Psychedelics Mainstream,2
artur_makly,1,2,2.0,Nadir – A Response to Astra,2
cyb0rg0,1,2,2.0,Intellectual Fly Is Open,2
desnitch,1,2,2.0,Whose Intelliegence is more Artificial?,2
divakarungatla,1,2,2.0,Show HN: Wayfinder – A reference implementation for evaluating AI applications,2
fiberfault,1,2,2.0,Uptime – A hard tech thriller grounded in real system engineering,2
ike_usawa,2,2,1.0,The Latest Wealth Flex: Big Trees,1
joozio,1,2,2.0,Gaming Chairs (2026): Are They Worth It?,2
mhmdoutfromkara,1,2,2.0,What Is Omarchy?,2
mikiyas,1,2,2.0,I asked astra to make playable 4D chess,2
shatoboar,1,2,2.0,Projecting application state as a filesystem with FUSE,2
shubhamjain,1,2,2.0,Doomscrolling Ourselves to Death,2
thunderbong,1,2,2.0,AnTuTu V12 public beta arrives with major changes to how phones are benchmarked,2
xendo,1,2,2.0,The AI Wait Equation,2
1vuio0pswjnm7,1,1,1.0,"Dolly Parton's Sister Slams \"Endless Garbage\": AI, Social Media Misinformation",1
AlexeyBrin,1,1,1.0,New all in one 6502 computer (Neo6502),1
GenericPointer,1,1,1.0,Building a new programming language – looking for contributors,1
Gri22lyBear,1,1,1.0,Show HN: Webcam games my kids can only play by moving,1
andreyazimov,1,1,1.0,Play GTA 3 in the Browser,1
bryanrasmussen,1,1,1.0,The Missing Sister: Unraveling the Complexity of Contested Cultural Heritage,1
daly,1,1,1.0,Signal Processing Circuit to detect Hall effect?,1
dkobia,1,1,1.0,A Visual History of Every Interplanetary Mission [video],1
dylan_builds,1,1,1.0,Turn any X post into a vertical video,1
fork-bomber,1,1,1.0,Marques Brownlee: Google Pixel 11/Pro Review: Poker Face,1
ginobuccs,1,1,1.0,Instagram,1
iamsyr,1,1,1.0,Legibility Is Not Interpretability,1
ibrahima_online,1,1,1.0,Invoiciz: Easy Invoice Maker,1
ingve,1,1,1.0,The irrational effectiveness of the Pi harness,1
jxub,1,1,1.0,Indonesian TTRPG Blogwagon: An Indonesian Magic System,1
kisnorbert,1,1,1.0,Photosystem II Complex: Nature's Most Brutal 'Battery' (Superoxidizing Force),1
marklit,1,1,1.0,ICEYE's Open Satellite Feed,1
martyvis,1,1,1.0,People who paint pylons (1997),1
program_whiz,1,1,1.0,Relax about Neural Space,1
psxuaw,1,1,1.0,S/Neovim/Helix/G,1
r_singh,1,1,1.0,TCS commits $7.4B to a one-gigawatt AI campus in Hyderabad,1
rocoders,1,1,1.0,Glide Menu: A one-handed gesture for mobile apps,1
simplegeek,1,1,1.0,"What does \"good\" AI mean?",1
tosh,1,1,1.0,Marc Andreessen: The World Is More Malleable Than You Think [video],1
vinhnx,1,1,1.0,Securing Agents with Tracked Capabilities,1
vmsp,1,1,1.0,From Jekyll to a POSIXish static site generator,1
