story_id,author,title,score,comments_count
49585161,jllyhill,I Changed My License,58,56
49585209,pigeonlabshq,"Pigeon, a signed Pass for what a sub-agent may do",7,4
49585380,gdss,How to Prepare for AGI,4,0
49585088,jruohonen,The Slopconomy and Its Alternatives,3,0
49585155,routeroff,Runtipi: Homeserver Management Made Easy,3,0
49585317,sbulaev,A Blacklisted Chinese Tech Giant Kept Buying Nvidia's Best A.I. Chips,3,0
49585520,bookofjoe,'Old Person Smell',3,0
49585055,desnitch,Whose Intelliegence is more Artificial?,2,0
49585087,shatoboar,Projecting application state as a filesystem with FUSE,2,0
49585191,Bahaa_BLINK,Blink – E-commerce platform where you shop through video reels,2,0
49585201,divakarungatla,Show HN: Wayfinder – A reference implementation for evaluating AI applications,2,0
49585203,fiberfault,Uptime – A hard tech thriller grounded in real system engineering,2,0
49585253,thunderbong,AnTuTu V12 public beta arrives with major changes to how phones are benchmarked,2,0
49585283,joozio,Gaming Chairs (2026): Are They Worth It?,2,1
49585300,mikiyas,I asked astra to make playable 4D chess,2,0
49585375,xendo,The AI Wait Equation,2,0
49585379,artur_makly,Nadir – A Response to Astra,2,0
49585527,mhmdoutfromkara,What Is Omarchy?,2,0
49585561,JumpCrisscross,Musk's Inner Circle Is Pouring Cash into Making Psychedelics Mainstream,2,0
49585627,shubhamjain,Doomscrolling Ourselves to Death,2,0
49585644,cyb0rg0,Intellectual Fly Is Open,2,0
49585106,rocoders,Glide Menu: A one-handed gesture for mobile apps,1,0
49585123,program_whiz,Relax about Neural Space,1,2
49585125,GenericPointer,Building a new programming language – looking for contributors,1,1
49585152,kisnorbert,Photosystem II Complex: Nature's Most Brutal 'Battery' (Superoxidizing Force),1,1
49585194,dylan_builds,Turn any X post into a vertical video,1,0
49585307,ibrahima_online,Invoiciz: Easy Invoice Maker,1,0
49585337,Gri22lyBear,Show HN: Webcam games my kids can only play by moving,1,0
49585378,1vuio0pswjnm7,"Dolly Parton's Sister Slams \"Endless Garbage\": AI, Social Media Misinformation",1,0
49585381,dkobia,A Visual History of Every Interplanetary Mission [video],1,0
49585402,vmsp,From Jekyll to a POSIXish static site generator,1,0
49585410,iamsyr,Legibility Is Not Interpretability,1,0
49585448,bryanrasmussen,The Missing Sister: Unraveling the Complexity of Contested Cultural Heritage,1,0
49585456,simplegeek,"What does \"good\" AI mean?",1,0
49585464,ingve,The irrational effectiveness of the Pi harness,1,0
49585473,daly,Signal Processing Circuit to detect Hall effect?,1,0
49585474,fork-bomber,Marques Brownlee: Google Pixel 11/Pro Review: Poker Face,1,0
49585478,marklit,ICEYE's Open Satellite Feed,1,0
49585483,r_singh,TCS commits $7.4B to a one-gigawatt AI campus in Hyderabad,1,0
49585491,vinhnx,Securing Agents with Tracked Capabilities,1,0
49585497,ginobuccs,Instagram,1,0
49585502,psxuaw,S/Neovim/Helix/G,1,0
49585524,jxub,Indonesian TTRPG Blogwagon: An Indonesian Magic System,1,0
49585533,ike_usawa,The Latest Wealth Flex: Big Trees,1,0
49585585,ike_usawa,Google told drivers to drive a longer way on purpose,1,0
49585592,martyvis,People who paint pylons (1997),1,0
49585594,jruohonen,Don't Use a gmail.com Address,1,0
49585605,AlexeyBrin,New all in one 6502 computer (Neo6502),1,0
49585625,andreyazimov,Play GTA 3 in the Browser,1,0
49585635,tosh,Marc Andreessen: The World Is More Malleable Than You Think [video],1,0
